name,affiliation,firstName,lastName,id,articleId,orcid,type,kwd,,pubTopics,,sponsors_name,sponsors_url
M. Pereira,CTS,M.,Pereira,38182992700,6661315,,IEEE Keywords,Receivers,,"Communication, Networking and Broadcast Technologies",,IEEE Communications Society,http://www.comsoc.org/
M. Pereira, Uninova,M.,Pereira,38182992700,6661315,,IEEE Keywords,Throughput,,Computing and Processing,,IEEE Signal Processing Society,http://www.ieee.org/organizations/society/sp/index.html#pub
M. Pereira, Universidade Nova de Lisboa,M.,Pereira,38182992700,6661315,,IEEE Keywords,Media Access Protocol,,Signal Processing and Analysis,,IEEE Communications Society,http://www.comsoc.org/
M. Pereira, Caparica,M.,Pereira,38182992700,6661315,,IEEE Keywords,Delays,,"Communication, Networking and Broadcast Technologies",,IEEE Signal Processing Society,http://www.ieee.org/organizations/society/sp/index.html#pub
M. Pereira, Portugal,M.,Pereira,38182992700,6661315,,IEEE Keywords,Synchronization,,Computing and Processing,,IEEE Communications Society,http://www.comsoc.org/
L. Bernardo,CTS,L.,Bernardo,37391503500,6661315,,IEEE Keywords,Frequency-domain analysis,,Signal Processing and Analysis,,IEEE Signal Processing Society,http://www.ieee.org/organizations/society/sp/index.html#pub
L. Bernardo, Uninova,L.,Bernardo,37391503500,6661315,,IEEE Keywords,Decoding,,"Communication, Networking and Broadcast Technologies",,IEEE Communications Society,http://www.comsoc.org/
L. Bernardo, Universidade Nova de Lisboa,L.,Bernardo,37391503500,6661315,,INSPEC: Controlled Indexing,access protocols,,Computing and Processing,,IEEE Signal Processing Society,http://www.ieee.org/organizations/society/sp/index.html#pub
L. Bernardo, Caparica,L.,Bernardo,37391503500,6661315,,INSPEC: Controlled Indexing,channel coding,,Signal Processing and Analysis,,IEEE Communications Society,http://www.comsoc.org/
L. Bernardo, Portugal,L.,Bernardo,37391503500,6661315,,INSPEC: Controlled Indexing,decoding,,"Communication, Networking and Broadcast Technologies",,IEEE Signal Processing Society,http://www.ieee.org/organizations/society/sp/index.html#pub
R. Dinis,CTS,R.,Dinis,37269209500,6661315,,INSPEC: Controlled Indexing,diversity reception,,Computing and Processing,,IEEE Communications Society,http://www.comsoc.org/
R. Dinis, Uninova,R.,Dinis,37269209500,6661315,,INSPEC: Controlled Indexing,equalisers,,Signal Processing and Analysis,,IEEE Signal Processing Society,http://www.ieee.org/organizations/society/sp/index.html#pub
R. Dinis, Universidade Nova de Lisboa,R.,Dinis,37269209500,6661315,,INSPEC: Controlled Indexing,frequency-domain analysis,,"Communication, Networking and Broadcast Technologies",,IEEE Communications Society,http://www.comsoc.org/
R. Dinis, Caparica,R.,Dinis,37269209500,6661315,,INSPEC: Controlled Indexing,optimisation,,Computing and Processing,,IEEE Signal Processing Society,http://www.ieee.org/organizations/society/sp/index.html#pub
R. Dinis, Portugal,R.,Dinis,37269209500,6661315,,INSPEC: Controlled Indexing,probability,,Signal Processing and Analysis,,IEEE Communications Society,http://www.comsoc.org/
R. Oliveira,CTS,R.,Oliveira,37391106800,6661315,,INSPEC: Controlled Indexing,radio receivers,,"Communication, Networking and Broadcast Technologies",,IEEE Signal Processing Society,http://www.ieee.org/organizations/society/sp/index.html#pub
R. Oliveira, Uninova,R.,Oliveira,37391106800,6661315,,INSPEC: Controlled Indexing,telecommunication congestion control,,Computing and Processing,,IEEE Communications Society,http://www.comsoc.org/
R. Oliveira, Universidade Nova de Lisboa,R.,Oliveira,37391106800,6661315,,INSPEC: Non-Controlled Indexing,optimization,,Signal Processing and Analysis,,IEEE Signal Processing Society,http://www.ieee.org/organizations/society/sp/index.html#pub
R. Oliveira, Caparica,R.,Oliveira,37391106800,6661315,,INSPEC: Non-Controlled Indexing,SC-FDE system,,"Communication, Networking and Broadcast Technologies",,IEEE Communications Society,http://www.comsoc.org/
R. Oliveira, Portugal,R.,Oliveira,37391106800,6661315,,INSPEC: Non-Controlled Indexing,medium access control protocol,,Computing and Processing,,IEEE Signal Processing Society,http://www.ieee.org/organizations/society/sp/index.html#pub
P. Montezuma,CTS,P.,Montezuma,37348727400,6661315,,INSPEC: Non-Controlled Indexing,collisions,,Signal Processing and Analysis,,IEEE Communications Society,http://www.comsoc.org/
P. Montezuma, Uninova,P.,Montezuma,37348727400,6661315,,INSPEC: Non-Controlled Indexing,multipacket detection receiver,,"Communication, Networking and Broadcast Technologies",,IEEE Signal Processing Society,http://www.ieee.org/organizations/society/sp/index.html#pub
P. Montezuma, Universidade Nova de Lisboa,P.,Montezuma,37348727400,6661315,,INSPEC: Non-Controlled Indexing,single-carrier modulations,,Computing and Processing,,IEEE Communications Society,http://www.comsoc.org/
P. Montezuma, Caparica,P.,Montezuma,37348727400,6661315,,INSPEC: Non-Controlled Indexing,SC modulations,,Signal Processing and Analysis,,IEEE Signal Processing Society,http://www.ieee.org/organizations/society/sp/index.html#pub
P. Montezuma, Portugal,P.,Montezuma,37348727400,6661315,,INSPEC: Non-Controlled Indexing,frequency-domain equalization,,"Communication, Networking and Broadcast Technologies",,IEEE Communications Society,http://www.comsoc.org/
P. Pinto,CTS,P.,Pinto,37399565900,6661315,,INSPEC: Non-Controlled Indexing,iterative frequency-domain receiver,,Computing and Processing,,IEEE Signal Processing Society,http://www.ieee.org/organizations/society/sp/index.html#pub
P. Pinto, Uninova,P.,Pinto,37399565900,6661315,,INSPEC: Non-Controlled Indexing,multipacket separation,,Signal Processing and Analysis,,IEEE Communications Society,http://www.comsoc.org/
P. Pinto, Universidade Nova de Lisboa,P.,Pinto,37399565900,6661315,,INSPEC: Non-Controlled Indexing,channel decoding operations,,"Communication, Networking and Broadcast Technologies",,IEEE Signal Processing Society,http://www.ieee.org/organizations/society/sp/index.html#pub
P. Pinto, Caparica,P.,Pinto,37399565900,6661315,,INSPEC: Non-Controlled Indexing,mobile terminals,,Computing and Processing,,IEEE Communications Society,http://www.comsoc.org/
P. Pinto, Portugal,P.,Pinto,37399565900,6661315,,INSPEC: Non-Controlled Indexing,p-persistent network diversity multiple access protocol,,Signal Processing and Analysis,,IEEE Signal Processing Society,http://www.ieee.org/organizations/society/sp/index.html#pub
Soheil Salari,Faculty of Engineering and Applied Science,Soheil,Salari,37300819700,6661327,,INSPEC: Non-Controlled Indexing,NDMA random MAC protocol,,"Communication, Networking and Broadcast Technologies",,IEEE Communications Society,http://www.comsoc.org/
Soheil Salari, University of Ontario Institute of Technology,Soheil,Salari,37300819700,6661327,,INSPEC: Non-Controlled Indexing,maximum decoding capability,,Computing and Processing,,IEEE Signal Processing Society,http://www.ieee.org/organizations/society/sp/index.html#pub
Soheil Salari, Oshawa,Soheil,Salari,37300819700,6661327,,INSPEC: Non-Controlled Indexing,packet transmission probability,,Signal Processing and Analysis,,IEEE Communications Society,http://www.comsoc.org/
Soheil Salari, ON,Soheil,Salari,37300819700,6661327,,INSPEC: Non-Controlled Indexing,uplink throughput,,"Communication, Networking and Broadcast Technologies",,IEEE Signal Processing Society,http://www.ieee.org/organizations/society/sp/index.html#pub
Soheil Salari, Canada,Soheil,Salari,37300819700,6661327,,INSPEC: Non-Controlled Indexing,nonsaturated network,,Computing and Processing,,IEEE Communications Society,http://www.comsoc.org/
Shahram Shahbazpanahi,Faculty of Engineering and Applied Science,Shahram,Shahbazpanahi,37273468400,6661327,,INSPEC: Non-Controlled Indexing,optimal transmission probability,,Signal Processing and Analysis,,IEEE Signal Processing Society,http://www.ieee.org/organizations/society/sp/index.html#pub
Shahram Shahbazpanahi, University of Ontario Institute of Technology,Shahram,Shahbazpanahi,37273468400,6661327,,INSPEC: Non-Controlled Indexing,packet transmission delay,,"Communication, Networking and Broadcast Technologies",,IEEE Communications Society,http://www.comsoc.org/
Shahram Shahbazpanahi, Oshawa,Shahram,Shahbazpanahi,37273468400,6661327,,INSPEC: Non-Controlled Indexing,physical layer simulations,,Computing and Processing,,IEEE Signal Processing Society,http://www.ieee.org/organizations/society/sp/index.html#pub
Shahram Shahbazpanahi, ON,Shahram,Shahbazpanahi,37273468400,6661327,,INSPEC: Non-Controlled Indexing,MAC layer simulations,,Signal Processing and Analysis,,IEEE Communications Society,http://www.comsoc.org/
Shahram Shahbazpanahi, Canada,Shahram,Shahbazpanahi,37273468400,6661327,,Author Keywords ,Multi-packet detection,,"Communication, Networking and Broadcast Technologies",,IEEE Signal Processing Society,http://www.ieee.org/organizations/society/sp/index.html#pub
Kemal Ozdemir,Cable Shoppe Inc.,Kemal,Ozdemir,38246427600,6661327,,Author Keywords ,k-limited network diversity multiple access (NDMA) protocol,,Computing and Processing,,IEEE Communications Society,http://www.comsoc.org/
Kemal Ozdemir, Toronto,Kemal,Ozdemir,38246427600,6661327,,Author Keywords ,p-persistent random access,,Signal Processing and Analysis,,IEEE Signal Processing Society,http://www.ieee.org/organizations/society/sp/index.html#pub
Kemal Ozdemir, ON,Kemal,Ozdemir,38246427600,6661327,,Author Keywords ,cross-layer optimization,,"Communication, Networking and Broadcast Technologies",,IEEE Communications Society,http://www.comsoc.org/
Yang-Seok Choi,Intel Corporation,Yang-Seok,Choi,37556829200,6648617,,IEEE Keywords,Velocity measurement,,Computing and Processing,,IEEE Signal Processing Society,http://www.ieee.org/organizations/society/sp/index.html#pub
Yang-Seok Choi, Intel Labs,Yang-Seok,Choi,37556829200,6648617,,IEEE Keywords,Wireless sensor networks,,Signal Processing and Analysis,,IEEE Communications Society,http://www.comsoc.org/
Yang-Seok Choi, Hillsboro,Yang-Seok,Choi,37556829200,6648617,,IEEE Keywords,Vectors,,"Communication, Networking and Broadcast Technologies",,IEEE Signal Processing Society,http://www.ieee.org/organizations/society/sp/index.html#pub
Yang-Seok Choi, OR,Yang-Seok,Choi,37556829200,6648617,,IEEE Keywords,Distance measurement,,Computing and Processing,,IEEE Communications Society,http://www.comsoc.org/
Yang-Seok Choi, USA,Yang-Seok,Choi,37556829200,6648617,,IEEE Keywords,Robot sensing systems,,Signal Processing and Analysis,,IEEE Signal Processing Society,http://www.ieee.org/organizations/society/sp/index.html#pub
Hooman Shirani-Mehr,Mobile and Communications Group,Hooman,Shirani-Mehr,38274924500,6648617,,IEEE Keywords,Kalman filters,,"Communication, Networking and Broadcast Technologies",,IEEE Communications Society,http://www.comsoc.org/
Hooman Shirani-Mehr, Intel Corporation,Hooman,Shirani-Mehr,38274924500,6648617,,IEEE Keywords,Optimization,,Computing and Processing,,IEEE Signal Processing Society,http://www.ieee.org/organizations/society/sp/index.html#pub
Hooman Shirani-Mehr, Hillsboro,Hooman,Shirani-Mehr,38274924500,6648617,,INSPEC: Controlled Indexing,mathematical programming,,Signal Processing and Analysis,,IEEE Communications Society,http://www.comsoc.org/
Hooman Shirani-Mehr, OR,Hooman,Shirani-Mehr,38274924500,6648617,,INSPEC: Controlled Indexing,maximum likelihood estimation,,"Communication, Networking and Broadcast Technologies",,IEEE Signal Processing Society,http://www.ieee.org/organizations/society/sp/index.html#pub
Hooman Shirani-Mehr, USA,Hooman,Shirani-Mehr,38274924500,6648617,,INSPEC: Controlled Indexing,measurement errors,,Computing and Processing,,IEEE Communications Society,http://www.comsoc.org/
Yang-Seok Choi,Intel Corporation,Yang-Seok,Choi,37556829200,6648617,,INSPEC: Controlled Indexing,mobile radio,,Signal Processing and Analysis,,IEEE Signal Processing Society,http://www.ieee.org/organizations/society/sp/index.html#pub
Yang-Seok Choi, Intel Labs,Yang-Seok,Choi,37556829200,6648617,,INSPEC: Controlled Indexing,sensor placement,,"Communication, Networking and Broadcast Technologies",,IEEE Communications Society,http://www.comsoc.org/
Yang-Seok Choi, Hillsboro,Yang-Seok,Choi,37556829200,6648617,,INSPEC: Controlled Indexing,time-of-arrival estimation,,Computing and Processing,,IEEE Signal Processing Society,http://www.ieee.org/organizations/society/sp/index.html#pub
Yang-Seok Choi, OR,Yang-Seok,Choi,37556829200,6648617,,INSPEC: Controlled Indexing,wireless sensor networks,,Signal Processing and Analysis,,IEEE Communications Society,http://www.comsoc.org/
Yang-Seok Choi, USA,Yang-Seok,Choi,37556829200,6648617,,INSPEC: Non-Controlled Indexing,mobile wireless sensor network,,"Communication, Networking and Broadcast Technologies",,IEEE Signal Processing Society,http://www.ieee.org/organizations/society/sp/index.html#pub
Hooman Shirani-Mehr,Mobile and Communications Group,Hooman,Shirani-Mehr,38274924500,6648617,,INSPEC: Non-Controlled Indexing,semidefinite programming,,Computing and Processing,,IEEE Communications Society,http://www.comsoc.org/
Hooman Shirani-Mehr, Intel Corporation,Hooman,Shirani-Mehr,38274924500,6648617,,INSPEC: Non-Controlled Indexing,SDP,,Signal Processing and Analysis,,IEEE Signal Processing Society,http://www.ieee.org/organizations/society/sp/index.html#pub
Hooman Shirani-Mehr, Hillsboro,Hooman,Shirani-Mehr,38274924500,6648617,,INSPEC: Non-Controlled Indexing,sensor mobility information,,"Communication, Networking and Broadcast Technologies",,IEEE Communications Society,http://www.comsoc.org/
Hooman Shirani-Mehr, OR,Hooman,Shirani-Mehr,38274924500,6648617,,INSPEC: Non-Controlled Indexing,sensor localization,,Computing and Processing,,IEEE Signal Processing Society,http://www.ieee.org/organizations/society/sp/index.html#pub
Hooman Shirani-Mehr, USA,Hooman,Shirani-Mehr,38274924500,6648617,,INSPEC: Non-Controlled Indexing,time-of-arrival model,,Signal Processing and Analysis,,IEEE Communications Society,http://www.comsoc.org/
Juan J. Olmos,Department of Signal Theory and Communications,Juan J.,Olmos,37270985300,6648628,,INSPEC: Non-Controlled Indexing,TOA,,"Communication, Networking and Broadcast Technologies",,IEEE Signal Processing Society,http://www.ieee.org/organizations/society/sp/index.html#pub
Juan J. Olmos, Universitat Politècnica de Catalunya,Juan J.,Olmos,37270985300,6648628,,INSPEC: Non-Controlled Indexing,received signal strength model,,Computing and Processing,,IEEE Communications Society,http://www.comsoc.org/
Juan J. Olmos, Barcelona,Juan J.,Olmos,37270985300,6648628,,INSPEC: Non-Controlled Indexing,RSS,,Signal Processing and Analysis,,IEEE Signal Processing Society,http://www.ieee.org/organizations/society/sp/index.html#pub
Juan J. Olmos, Spain,Juan J.,Olmos,37270985300,6648628,,INSPEC: Non-Controlled Indexing,maximum likelihood location estimator,,"Communication, Networking and Broadcast Technologies",,IEEE Communications Society,http://www.comsoc.org/
Ramon Ferrus,Department of Signal Theory and Communications,Ramon,Ferrus,37268332600,6648628,,INSPEC: Non-Controlled Indexing,semidefinite relaxation,,Computing and Processing,,IEEE Signal Processing Society,http://www.ieee.org/organizations/society/sp/index.html#pub
Ramon Ferrus, Universitat Politècnica de Catalunya,Ramon,Ferrus,37268332600,6648628,,INSPEC: Non-Controlled Indexing,SDR,,Signal Processing and Analysis,,IEEE Communications Society,http://www.comsoc.org/
Ramon Ferrus, Barcelona,Ramon,Ferrus,37268332600,6648628,,INSPEC: Non-Controlled Indexing,measurement errors,,"Communication, Networking and Broadcast Technologies",,IEEE Signal Processing Society,http://www.ieee.org/organizations/society/sp/index.html#pub
